"","Name","City","State","Locale","Control","Cost_att","Federal_loan","Pell_Grant","Women","Dependent","Married","pct_white","pct_black","pct_hispanic","pct_asian","Low_income","Mid1_income","Mid2_income","High1_income","High2_income","Completion_rate","Monthly_debt","Mean_earning_6","Mean_earning_7","Mean_earning_8","Mean_earning_9","Mean_earning_10","Mean_earning_male_6","Mean_earning_female_6","Mean_earning_male_10","Mean_earning_female_10"
"166","New Tyler Barber College Inc","North Little Rock","AR","City","Private",NA,0.7300000191,0.9700000286,0.4399999976,0.3400000036,0.1000000015,55.2000007629,41.1300010681,2.3399999142,0.8700000048,0.8139534884,NA,NA,NA,NA,NA,NA,NA,13800,16200,15900,16400,NA,NA,NA,NA
"167","North Arkansas College","Harrison","AR","Town","Public",9872,0.5,0.9100000262,0.6299999952,0.4300000072,0.3000000119,95.6999969482,0.9900000095,2.6600000858,0.3000000119,0.6373534338,0.2001675042,0.1122278057,0.040201005,0.0100502513,NA,82.7180450024625,23400,25100,26300,26900,28100,21400,26600,25900,31500
"168","Northwest Technical Institute","Springdale","AR","City","Public",11731,0,1,0.5799999833,0.25,0.3000000119,89.3399963379,1.4800000191,8.1400003433,1.1900000572,0.7802197802,0.1391941392,NA,NA,NA,NA,NA,26400,26300,26800,29900,31200,27300,25200,28400,35900
"169","Ouachita Baptist University","Arkadelphia","AR","Town","Private",33675,0.8999999762,0.5,0.5199999809,0.9499999881,0.0199999996,78.9899978638,12.779999733,7.6300001144,2.3699998856,0.2471728595,0.1373182553,0.1873990307,0.1890145396,0.239095315,NA,232.644501569425,31300,34100,36100,39500,41200,28700,34100,33400,47800
"170","College of the Ouachitas","Malvern","AR","Town","Public",12416,0.349999994,0.9100000262,0.7200000286,0.3799999952,0.3199999928,85.4400024414,11.8800001144,1.5700000525,0.3600000143,0.6246246246,0.2027027027,0.0975975976,0.0555555556,0.0195195195,NA,90.9588302358328,24500,25500,27300,25300,27000,23000,28100,24400,32800
"171","Ozarka College","Melbourne","AR","Rural","Public",11481,0.6200000048,0.9499999881,0.7099999785,0.3199999928,0.3600000143,96.9000015259,0.6299999952,1.0199999809,0.150000006,0.7391857506,0.1399491094,0.0839694656,0.024173028,0.0127226463,NA,127.727001239427,22600,22800,24400,26700,28400,19700,28500,25500,34800
"172","University of the Ozarks","Clarksville","AR","Town","Private",35792,0.9100000262,0.6299999952,0.5400000215,0.8899999857,0.0299999993,85.8000030518,6.5700001717,7.2800002098,1.1299999952,0.4166666667,0.1635802469,0.1697530864,0.1481481481,0.1018518519,NA,233.058091794438,26500,34000,36000,34000,33400,23000,30000,28400,39700
"173","University of Arkansas Community College-Morrilton","Morrilton","AR","Town","Public",10306,0.4099999964,0.8899999857,0.6600000262,0.4199999869,0.2700000107,90.1399993896,6.3299999237,2.3499999046,0.4300000072,0.6228304406,0.170894526,0.1181575434,0.0594125501,0.0287049399,NA,77.2224648876114,26600,26200,27100,27900,29300,22900,32300,25600,37300
"174","Philander Smith College","Little Rock","AR","City","Private",26179,0.9300000072,0.8600000143,0.6399999857,0.6700000167,0.0599999987,48.0800018311,46.1599998474,4.9299998283,1.4199999571,0.6896551724,0.1586206897,0.0735632184,NA,NA,NA,320.532424384542,21600,24800,26000,28800,29500,20600,22800,30100,28500
"175","Phillips Community College of the University of Arkansas","Helena","AR","Rural","Public",10321,0.1899999976,0.9800000191,0.7300000191,0.4600000083,0.1899999976,53.4700012207,44.6599998474,1.4600000381,0.3600000143,0.7986688852,0.1397670549,NA,NA,NA,NA,NA,20400,21500,23100,23200,24500,19100,23400,23200,28300
